r1084266.fit  4.48  1.48 0.064    97.7 from 270 sources of uvex_0371 g
r1084267.fit  4.44  1.47 0.102   155.4 from 503 sources of uvex_0373o r
r1084268.fit  4.83  1.59 0.060    89.2 from  75 sources of uvex_0373o U
r1084269.fit  4.60  1.52 0.056   104.9 from 295 sources of uvex_0373o g
r1084270.fit  4.95  1.63 0.059   137.7 from 252 sources of uvex_1537 r
r1084271.fit  5.31  1.75 0.112    94.1 from  40 sources of uvex_1537 U
r1084272.fit  4.69  1.55 0.055   102.0 from 162 sources of uvex_1537 g
r1084273.fit  5.11  1.69 0.119   164.8 from 199 sources of uvex_1537o r
r1084274.fit  5.68  1.87 0.080    91.9 from  40 sources of uvex_1537o U
r1084275.fit  4.85  1.60 0.054   114.8 from 144 sources of uvex_1537o g
r1084276.fit  5.10  1.68 0.049   166.1 from 341 sources of uvex_1583 r
r1084277.fit  5.76  1.90 0.081    92.4 from  46 sources of uvex_1583 U
r1084278.fit  4.82  1.59 0.035   112.9 from 228 sources of uvex_1583 g
r1084279.fit  5.04  1.66 0.103   163.6 from 270 sources of uvex_1591o r
r1084280.fit  5.52  1.82 0.097    93.4 from  35 sources of uvex_1591o U
r1084281.fit  4.67  1.54 0.079   113.7 from 179 sources of uvex_1591o g
r1084282.fit  4.47  1.48 0.069   144.2 from 330 sources of uvex_1592 r
r1084283.fit  5.37  1.77 0.065    89.1 from  27 sources of uvex_1592 U
r1084284.fit  4.88  1.61 0.047   109.0 from 155 sources of uvex_1592 g
r1084285.fit  4.77  1.57 0.067   150.7 from 279 sources of uvex_1592o r
r1084286.fit  5.23  1.73 0.057    88.3 from  21 sources of uvex_1592o U
r1084287.fit  4.61  1.52 0.051   105.9 from 154 sources of uvex_1592o g
r1084288.fit  4.90  1.62 0.059   140.5 from 350 sources of uvex_1593o r
r1084289.fit  5.30  1.75 0.087    90.8 from  47 sources of uvex_1593o U
r1084290.fit  4.46  1.47 0.055    95.3 from 257 sources of uvex_1593o g
r1084291.fit  4.32  1.43 0.049   148.2 from 451 sources of uvex_1594o r
r1084292.fit  5.14  1.70 0.102    88.3 from  46 sources of uvex_1594o U
r1084293.fit  4.50  1.49 0.074   106.8 from 305 sources of uvex_1594o g
r1084294.fit  3.96  1.31 0.063   157.7 from 309 sources of uvex_1595 r
r1084295.fit  5.14  1.70 0.088    93.0 from  31 sources of uvex_1595 U
r1084296.fit  4.49  1.48 0.070   112.6 from 160 sources of uvex_1595 g
r1084297.fit  4.44  1.47 0.081   154.1 from 334 sources of uvex_1654o r
r1084298.fit  5.18  1.71 0.092    93.4 from  40 sources of uvex_1654o U
r1084299.fit  4.53  1.49 0.064   111.3 from 219 sources of uvex_1654o g
r1084300.fit  4.48  1.48 0.055   164.0 from 352 sources of uvex_1676o r
r1084301.fit  5.14  1.70 0.056    93.3 from  29 sources of uvex_1676o U
r1084302.fit  4.84  1.60 0.058   109.4 from 170 sources of uvex_1676o g
r1084303.fit  4.30  1.42 0.068   163.4 from 237 sources of uvex_1677o r
r1084304.fit  5.61  1.85 0.088    91.5 from  24 sources of uvex_1677o U
r1084305.fit  4.53  1.49 0.068   111.4 from 111 sources of uvex_1677o g
r1084306.fit  4.29  1.42 0.068   145.7 from 261 sources of uvex_2073 r
r1084307.fit  5.18  1.71 0.081    66.5 from  17 sources of uvex_2073 U
r1084308.fit  4.83  1.59 0.060    98.2 from 139 sources of uvex_2073 g
r1084309.fit  4.10  1.35 0.071   117.3 from 300 sources of uvex_2073o r
r1084310.fit  5.02  1.66 0.090    67.4 from  18 sources of uvex_2073o U
r1084311.fit  5.14  1.70 0.075    97.6 from 115 sources of uvex_2073o g
r1084312.fit  4.41  1.46 0.072   136.4 from 341 sources of uvex_2074 r
r1084313.fit  5.20  1.72 0.097    70.8 from  34 sources of uvex_2074 U
r1084314.fit  5.07  1.67 0.068    94.2 from 322 sources of uvex_2074 g
r1084315.fit  4.89  1.61 0.107   149.5 from 549 sources of uvex_2074o r
r1084316.fit  5.64  1.86 0.093    96.4 from  77 sources of uvex_2074o U
r1084317.fit  4.69  1.55 0.092   112.4 from 310 sources of uvex_2074o g
r1084318.fit  4.59  1.51 0.069   152.5 from 420 sources of uvex_2076 r
r1084319.fit  5.03  1.66 0.098    94.0 from  58 sources of uvex_2076 U
r1084320.fit  4.41  1.46 0.070   112.7 from 276 sources of uvex_2076 g
r1084321.fit  4.43  1.46 0.043   121.8 from 418 sources of uvex_2076o r
r1084322.fit  4.97  1.64 0.079    95.7 from  68 sources of uvex_2076o U
r1084323.fit  4.44  1.47 0.078   103.8 from 246 sources of uvex_2076o g
r1084324.fit  4.18  1.38 0.043   159.5 from 155 sources of uvex_1680o r
r1084325.fit  4.98  1.64 0.079    96.0 from  16 sources of uvex_1680o U
r1084326.fit  4.33  1.43 0.095   113.4 from  79 sources of uvex_1680o g
r1084327.fit  3.64  1.20 0.060   141.6 from 432 sources of uvex_1682 r
r1084328.fit  4.79  1.58 0.065    96.7 from  40 sources of uvex_1682 U
r1084329.fit  4.39  1.45 0.059   110.3 from 165 sources of uvex_1682 g
r1084330.fit  4.34  1.43 0.063   147.7 from 282 sources of uvex_1688o r
r1084331.fit  5.10  1.68 0.075   109.0 from  29 sources of uvex_1688o U
r1084332.fit  4.66  1.54 0.053   139.6 from 147 sources of uvex_1688o g
r1084333.fit  4.09  1.35 0.053   166.6 from 320 sources of uvex_1690 r
r1084334.fit  4.78  1.58 0.069   133.5 from  36 sources of uvex_1690 U
r1084335.fit  4.34  1.43 0.067   185.7 from 171 sources of uvex_1690 g
r1084336.fit  3.99  1.32 0.055   194.8 from 392 sources of uvex_1693 r
r1084337.fit  4.55  1.50 0.059   174.2 from  43 sources of uvex_1693 U
r1084338.fit  4.18  1.38 0.041   256.1 from 236 sources of uvex_1693 g
r1084339.fit  3.87  1.28 0.069   246.2 from 489 sources of uvex_1693o r
r1084340.fit  4.37  1.44 0.057   262.0 from  40 sources of uvex_1693o U
r1084341.fit  4.25  1.40 0.071   516.5 from 266 sources of uvex_1693o g
r1084342.fit  3.80  1.25 0.075   347.2 from 435 sources of uvex_1694 r
r1084343.fit  4.95  1.63 0.094   470.5 from  45 sources of uvex_1694 U
r1084344.fit  4.02  1.33 0.066  1000.8 from 262 sources of uvex_1694 g
r1084345.fit is not a target (BIAS)
r1084346.fit is not a target (BIAS)
r1084347.fit is not a target (FLAT)
r1084348.fit is not a target (FLAT)
r1084349.fit is not a target (FLAT)
r1084350.fit is not a target (FLAT)
r1084351.fit is not a target (FLAT)
r1084352.fit is not a target (FLAT)
r1084353.fit is not a target (FLAT)
r1084354.fit is not a target (FLAT)
r1084355.fit is not a target (FLAT)
r1084356.fit is not a target (FLAT)
r1084357.fit is not a target (FLAT)
r1084358.fit is not a target (FLAT)
r1084359.fit is not a target (FLAT)
